,term,Course_Name,enrolled,total_Seats
1687,Spring 2016,CSC 893 [01 ],0,15
1688,Spring 2016,CSC 895 [01 ],0,5
1689,Spring 2016,CSC 897 [01 ],0,5
1690,Spring 2016,CSC 898 [01 ],0,5
1691,Spring 2016,CSC 899 [01 ],0,10
1692,Spring 2016,CSC 775 [01 ],8,10
1693,Spring 2016,CSC 775 [02 ],15,15
1694,Spring 2016,CSC 810 [01 ],12,20
1695,Spring 2016,CSC 821 [01 ],11,15
1696,Spring 2016,CSC 831 [01 ],9,15
1697,Spring 2016,CSC 840 [01 ],9,20
1698,Spring 2016,CSC 848 [01 ],9,15
1699,Spring 2016,CSC 867 [01 ],4,10
1700,Spring 2016,CSC 868 [01 ],21,20
1701,Spring 2016,CSC 890 [01 ],8,40
1702,Spring 2016,CSC 890 [02 ],6,20
1703,Spring 2016,CSC 893 [01 ],0,15
1704,Spring 2016,CSC 895 [01 ],0,5
1705,Spring 2016,CSC 897 [01 ],0,5
1706,Spring 2016,CSC 898 [01 ],0,5
1707,Spring 2016,CSC 899 [01 ],0,10
1708,Spring 2016,CSC 775 [01 ],8,10
1709,Spring 2016,CSC 775 [02 ],15,15
1710,Spring 2016,CSC 810 [01 ],12,20
1711,Spring 2016,CSC 821 [01 ],11,15
1712,Spring 2016,CSC 831 [01 ],9,15
1713,Spring 2016,CSC 840 [01 ],9,20
1714,Spring 2016,CSC 848 [01 ],9,15
1715,Spring 2016,CSC 867 [01 ],4,10
1716,Spring 2016,CSC 868 [01 ],21,20
1717,Spring 2016,CSC 890 [01 ],8,40
1718,Spring 2016,CSC 890 [02 ],6,20
1719,Spring 2016,CSC 893 [01 ],0,15
1720,Spring 2016,CSC 895 [01 ],0,5
1721,Spring 2016,CSC 897 [01 ],0,5
1722,Spring 2016,CSC 898 [01 ],0,5
1723,Spring 2016,CSC 899 [01 ],0,10
1724,Fall 2017,CSC 210 [01 ],70,50
1725,Fall 2017,CSC 210 [02 ],58,50
1726,Fall 2017,CSC 210 [03 ],68,50
1727,Fall 2017,CSC 210 [04 ],49,50
1728,Fall 2017,CSC 211 [01 ],31,40
1729,Fall 2017,CSC 220 [01 ],45,40
1730,Fall 2017,CSC 220 [02 ],43,40
1731,Fall 2017,CSC 220 [03 ],49,45
1732,Fall 2017,CSC 220 [04 ],51,50
1733,Fall 2017,CSC 230 [01 ],52,45
1734,Fall 2017,CSC 230 [02 ],47,40
1735,Fall 2017,CSC 230 [03 ],42,40
1736,Fall 2017,CSC 256 [01 ],59,60
1737,Fall 2017,CSC 256 [02 ],61,60
1738,Fall 2017,CSC 300GW [01 ],31,25
1739,Fall 2017,CSC 300GW [02 ],30,25
1740,Fall 2017,CSC 300GW [03 ],30,25
1741,Fall 2017,CSC 300GW [04 ],29,25
1742,Fall 2017,CSC 340 [01 ],44,45
1743,Fall 2017,CSC 340 [02 ],44,45
1744,Fall 2017,CSC 340 [03 ],51,50
1745,Fall 2017,CSC 340 [04 ],56,40
1746,Fall 2017,CSC 340 [05 ],39,50
1747,Fall 2017,CSC 412 [01 ],43,40
1748,Fall 2017,CSC 412 [02 ],45,40
1749,Fall 2017,CSC 412 [03 ],43,40
1750,Fall 2017,CSC 412 [04 ],44,40
